name,group,epoch,country,sex,year_from,year_to,haplogroup,lat,lon,fasta_url
I5240,HGS,Mesolithic,Serbia,M,-9140,-8570,U5a1c,44.599998474121094,22.010000228881836,/static_md5/data/fasta/I5240.fa
I4563,BAIB,Bronze Age,Spain,M,-1700,-1500,H84,41.29159927368164,1.0637999773025513,/static_md5/data/fasta/I4563.fa
I0176,LBK,Neolithic,Hungary,F,-5207,-4944,N1a1a1a3,46.400001525878906,18.739999771118164,/static_md5/data/fasta/I0176.fa
I4562,BAIB,Bronze Age,Spain,F,-1738,-1623,H1,41.29159927368164,1.0637999773025513,/static_md5/data/fasta/I4562.fa
Ampack_1,BBC,Bronze Age,Germany,M,-2476,-2310,T2b33,48.259124755859375,10.873848915100098,/static_md5/data/fasta/Ampack_1.fa
ARS011,LBAMo,Bronze Age,Mongolia,M,-1278,-979,None,49.65683364868164,99.72669219970703,
I5242,HGS,Mesolithic,Serbia,F,-8805,-8355,U5a1,44.599998474121094,22.010000228881836,/static_md5/data/fasta/I5242.fa
I10940,BAIB,Bronze Age,Gibraltar,M,-1900,-1400,H1e1a,36.13200378417969,-5.343772888183594,/static_md5/data/fasta/I10940.fa
RISE371,BAHu,Bronze Age,Hungary,F,-2136,-1941,U5a2b,46.220001220703125,20.200000762939453,/static_md5/data/fasta/RISE371.fa
I3759,IAIB,Iron Age,Spain,M,-361,-195,H1,42.564998626708984,-2.5863499641418457,/static_md5/data/fasta/I3759.fa
ARS012,LBAMo,Bronze Age,Mongolia,F,-1410,-1126,C4a2a1,49.65683364868164,99.72669219970703,
I3327,IAIB,Iron Age,Spain,M,-250,-200,J2b1a,42.006614685058594,3.078666925430298,/static_md5/data/fasta/I3327.fa
poz211,CAUk,Copper Age,Ukraine,M,-2898,-2761,U5a2b,48.389442443847656,28.406389236450195,/static_md5/data/fasta/poz211.fa
DA92,IAST,Iron Age,Kazakhstan,M,-37,-28,J1b1a1+146,52.17388916015625,77.03971862792969,/static_md5/data/fasta/DA92.fa
ARS013,LBAMo,Bronze Age,Mongolia,F,-1442,-1208,C,49.65683364868164,99.72669219970703,
I12879,IAIB,Iron Age,Spain,F,-728,-397,HV0+195,41.332401275634766,1.5943000316619873,/static_md5/data/fasta/I12879.fa
RISE373,BAHu,Bronze Age,Hungary,F,-1886,-1696,K1a2a,46.220001220703125,20.200000762939453,/static_md5/data/fasta/RISE373.fa
I5244,HGS,Mesolithic,Serbia,F,-9115,-8555,K1f,44.599998474121094,22.010000228881836,/static_md5/data/fasta/I5244.fa
ARS014,LBAMo,Bronze Age,Mongolia,F,-1412,-1127,C4a2c1,49.65683364868164,99.72669219970703,
I12643,IAIB,Iron Age,Spain,F,-758,-429,J2a1a1c,41.53730010986328,2.1328999996185303,/static_md5/data/fasta/I12643.fa
I12560,IAIB,Iron Age,Spain,F,-700,-500,H4a1,37.51832962036133,-5.978330135345459,/static_md5/data/fasta/I12560.fa
I12173,IAIB,Iron Age,Spain,F,-700,-500,T2b23,37.51832962036133,-5.978330135345459,/static_md5/data/fasta/I12173.fa
I8212,CLIB,Classical Age,Spain,M,-500,-350,H27+16093,42.13330078125,3.108299970626831,/static_md5/data/fasta/I8212.fa
I8214,CLIB,Classical Age,Spain,F,-400,-350,H3+152,42.13330078125,3.108299970626831,/static_md5/data/fasta/I8214.fa
I8215,CLIB,Classical Age,Spain,F,-400,-350,HV11,42.13330078125,3.108299970626831,/static_md5/data/fasta/I8215.fa
I0011,HGN,Mesolithic,Sweden,F,-5721,-5516,U5a1,58.540000915527344,15.050000190734863,/static_md5/data/fasta/I0011.fa
I8339,CLIB,Classical Age,Spain,F,100,200,K1a+195,42.13330078125,3.108299970626831,/static_md5/data/fasta/I8339.fa
I8475,CLIB,Classical Age,Spain,F,100,200,T2b,42.13330078125,3.108299970626831,/static_md5/data/fasta/I8475.fa
ARS015,LBAMo,Bronze Age,Mongolia,M,-1429,-1130,G3a,49.65683364868164,99.72669219970703,
I6490,CLIB,Classical Age,Spain,F,200,500,K1c2,41.27399826049805,1.1779999732971191,/static_md5/data/fasta/I6490.fa
I4560,BAIB,Bronze Age,Spain,F,-1700,-1500,K1a3a,41.29159927368164,1.0637999773025513,/static_md5/data/fasta/I4560.fa
I3778,MAIB,Middle Ages,Spain,M,600,700,H4a1,41.98137664794922,2.309823989868164,/static_md5/data/fasta/I3778.fa
I4657,HGS,Mesolithic,Serbia,F,-9755,-9275,K1c,44.529998779296875,22.049999237060547,/static_md5/data/fasta/I4657.fa
I3775,MAIB,Middle Ages,Spain,M,600,700,H3t,41.98137664794922,2.309823989868164,/static_md5/data/fasta/I3775.fa
I3777,MAIB,Middle Ages,Spain,F,600,700,V17,41.98137664794922,2.309823989868164,/static_md5/data/fasta/I3777.fa
