name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
I5870,NEUk,Neolithic,Ukraine,M,-5475,-5344,U4b1b1,/static_md5/data/fasta/I5870.fa
LICOL36,LONG,Middle Ages,Italy,U,570,800,X2b+226,/static_md5/data/fasta/LICOL36.fa
Aes5,NESw,Neolithic,Switzerland,F,-3017,-2902,J1c3,/static_md5/data/fasta/Aes5.fa
I1951,NEME,Neolithic,Iran,F,-8202,-7681,HV,/static_md5/data/fasta/I1951.fa
NLHFON468,MAHu,Middle Ages,Hungary,U,500,600,J2a1a1a,
arm18,BACA,Bronze Age,Armenia,U,-1400,-1200,H15a1a1,/static_md5/data/fasta/arm18.fa
Theo5,HGS,Mesolithic,Greece,U,-7605,-7529,K1c,/static_md5/data/fasta/Theo5.fa
I4918,NEBA,Neolithic,Serbia,F,-6000,-5300,K1a4a1,/static_md5/data/fasta/I4918.fa
I5872,NEUk,Neolithic,Ukraine,M,-5489,-5375,U5a2a,/static_md5/data/fasta/I5872.fa
LICOL38,LONG,Middle Ages,Italy,U,570,800,X2,/static_md5/data/fasta/LICOL38.fa
Aes6,NESw,Neolithic,Switzerland,M,-2905,-2759,H5,/static_md5/data/fasta/Aes6.fa
I3433,NEBA,Neolithic,Croatia,F,-5976,-5751,H1,/static_md5/data/fasta/I3433.fa
I10865,CLIB,Classical Age,Spain,M,100,200,U5a1a1,/static_md5/data/fasta/I10865.fa
I5873,NEUk,Neolithic,Ukraine,F,-5469,-5322,U4b,/static_md5/data/fasta/I5873.fa
arm19,BACA,Bronze Age,Armenia,U,-1400,-1200,K1a1b1e,/static_md5/data/fasta/arm19.fa
I5957,NEUk,Neolithic,Ukraine,M,-6500,-4000,T2,/static_md5/data/fasta/I5957.fa
LICOL40,LONG,Middle Ages,Italy,U,570,800,None,
arm20,BACA,Bronze Age,Armenia,U,-1383,-1215,H8a1,/static_md5/data/fasta/arm20.fa
LICOL47,LONG,Middle Ages,Italy,U,570,800,H11a,/static_md5/data/fasta/LICOL47.fa
I0861,NAT,Epipaleolithic,Israel,M,-11840,-9760,JT,/static_md5/data/fasta/I0861.fa
I1069,NAT,Epipaleolithic,Israel,M,-11840,-9760,HV,/static_md5/data/fasta/I1069.fa
I3980,CAIB,Classical Age,Spain,F,432,601,H1e1c,/static_md5/data/fasta/I3980.fa
LICOL49,LONG,Middle Ages,Italy,U,570,800,T2b,/static_md5/data/fasta/LICOL49.fa
arm21,IACA,Iron Age,Armenia,U,-1300,-1100,HV12b1,/static_md5/data/fasta/arm21.fa
I1690,NAT,Epipaleolithic,Israel,M,-11840,-9760,None,/static_md5/data/fasta/I1690.fa
Aes7,NESw,Neolithic,Switzerland,M,-3000,-2500,U5b2b2,/static_md5/data/fasta/Aes7.fa
I3719,NEUk,Neolithic,Ukraine,M,-4949,-4799,H1,/static_md5/data/fasta/I3719.fa
I0060,BBC,Copper Age,Germany,F,-2428,-2149,K1a2c,
I1687,NAT,Epipaleolithic,Israel,F,-11520,-11110,H2a,/static_md5/data/fasta/I1687.fa
I3981,CAIB,Classical Age,Spain,M,400,600,T2b32,/static_md5/data/fasta/I3981.fa
NLHFON316,MAHu,Middle Ages,Hungary,U,500,600,None,
I3982,CAIB,Classical Age,Spain,F,200,400,HV0+195,/static_md5/data/fasta/I3982.fa
I0804,UNC,Bronze Age,Germany,M,-2137,-1965,H3,/static_md5/data/fasta/I0804.fa
LICOL57,LONG,Middle Ages,Italy,U,570,800,H24a,/static_md5/data/fasta/LICOL57.fa
arm22,IACA,Iron Age,Armenia,U,-1300,-1100,H2a,/static_md5/data/fasta/arm22.fa
RISE562,BBC,Copper Age,Germany,F,-2458,-2206,H2a1e,
Bon001,NENE,Neolithic,Turkey,M,-8212,-7952,U3,
LICOL61,LONG,Middle Ages,Italy,U,570,800,None,
Aes8,NESw,Neolithic,Switzerland,F,-2919,-2883,J1c3,/static_md5/data/fasta/Aes8.fa
I1499,LBK,Neolithic,Hungary,F,-5210,-5010,X2b+226,/static_md5/data/fasta/I1499.fa
LICOL63,LONG,Middle Ages,Italy,U,570,800,H2+152,/static_md5/data/fasta/LICOL63.fa
arm24,IACA,Iron Age,Armenia,U,-1300,-1100,U5a1b,/static_md5/data/fasta/arm24.fa
I0807,BAC,Neolithic,Germany,M,-3970,-3710,H1e1a,/static_md5/data/fasta/I0807.fa
Aes9,NESw,Neolithic,Switzerland,F,-2917,-2882,U5b2b5,/static_md5/data/fasta/Aes9.fa
ANI159,CABA,Copper Age,Bulgaria,M,-4711,-4530,T2b2b,/static_md5/data/fasta/ANI159.fa
arm27,IACA,Iron Age,Armenia,U,-1316,-1070,HV,/static_md5/data/fasta/arm27.fa
Bon002,NENE,Neolithic,Turkey,F,-8279,-7977,K1a,
